bottle_volume_ml,bottles_sold,sale_dollars,state_bottle_cost,state_bottle_retail,volume_sold_gallons,volume_sold_liters
9047160,81041,902806,93776,140745,18511,70057
8961546,84865,872812,86861,130651,19454,73624
8751468,82124,902110,91749,137650,18903,71544
8596610,80514,890487,92727,139204,18494,69991
10110633,93868,1005305,105181,157906,21507,81394
8919553,90586,1145092,98928,149220,21952,83080
9612303,93181,1064925,106873,160525,21710,82162
10300837,94643,1137953,118265,177611,21388,80940
8253989,73452,910364,97947,146949,16464,62304
13550011,194336,2915178,164150,248025,41725,157920
10461620,122121,1753676,123681,185386,26572,100569
13344502,149926,2258601,159672,239910,32371,122503
9119629,86362,1053334,97864,146829,19158,72504
7994750,75700,906201,88265,132685,17113,64763
9050325,89424,1103712,99645,149674,20158,76285
9298777,88421,1044361,103572,155412,20106,76088
9239125,89915,1063664,103785,155811,20382,77135
8061125,77209,895405,88158,132791,17465,66095
9525075,91757,1039190,104712,157134,20910,79134
8372800,84780,1025265,94772,142288,19341,73198
8329700,79605,979761,93923,140910,17952,67936
11583252,163352,2590457,144253,218213,34951,132263
9054825,94321,1267331,117707,176657,20947,79271
13429125,131055,1862223,186669,280240,28374,107371
9010925,82723,980341,104308,156499,18433,69758
8437254,75893,945916,98567,148353,17100,64713
8387525,78289,948252,97256,145985,17830,67479
8820025,90693,1141509,104091,156170,20771,78606
8250715,89289,1188173,99695,149647,22064,83505
9262850,98323,1241014,109829,165337,23108,87453
9149525,90662,1087954,107394,161141,20442,77359
8416875,84123,1063285,101638,152556,19018,71972
9068225,98149,1367079,113491,170265,22046,83432
10560853,116516,1579980,146685,220859,25827,97737
9696675,112607,1499708,123115,185084,24951,94420
14613425,145028,2072602,197259,296541,31320,118515
8338225,77851,927220,97813,146770,17351,65661
8111525,80687,983847,96969,145542,18376,69542
8963450,90295,1096983,106857,160397,20684,78277
8510825,83026,1011567,101552,152377,18790,71108
7693775,77243,903523,91280,137076,17555,66435
9483725,113315,1469813,113656,170555,26755,101256
8463625,82709,973824,100597,151263,18222,68960
8099525,81491,958063,94972,142595,18286,69201
8976850,86517,1088937,110823,166253,19450,73601
9739625,120412,1768692,140902,211538,26122,98846
9890700,110855,1523408,135922,204001,24423,92418
13891375,136201,1946527,192850,289564,29420,111326
8440925,81088,1012165,103236,154987,18211,68918
10167275,110721,1467907,142426,213697,23413,88600
8511175,88724,998984,97953,146952,20113,76117
7379475,78396,913895,91779,137727,17241,65250
8665475,86933,973831,100068,150221,19664,74418
9077750,100357,1245219,108066,162148,22584,85467
7455600,70959,821606,88923,133452,15697,59403
13497475,86996,1331563,141852,212804,19826,75154
7967250,85978,1499445,136364,204564,20055,75896
11022375,123665,2404278,207986,312008,28934,109493
9790153,111238,2080006,191087,286656,27967,105840
11233178,123407,2484192,226490,339765,30591,115771
7083775,66412,1232704,133146,199736,15785,59736
6279450,73202,1411029,114421,171646,18002,68132
7800428,85597,1642068,143280,214939,20719,78412
7282325,80619,1509982,139348,209040,19466,73669
9066625,103689,1871940,163797,245719,26701,101049
8743475,101966,1843936,159462,239216,24765,93723
7596225,83931,1483650,133622,200451,21018,79545
8514303,91103,1604233,152946,229440,22984,86984
7239477,76717,1421571,128748,193139,17945,67913
12124625,146006,2758256,218075,327145,33987,128630
9513050,98645,1898781,191048,286596,24405,92355
10740103,112341,2350848,216435,324679,27294,103291
8063725,73365,1374524,155965,233968,17417,65911
6903550,76322,1467004,128964,193462,18522,70098
7865450,95273,1747567,145060,217610,24158,91429
7975325,89311,1556486,150608,225931,22420,84848
9498800,107716,1866883,171112,256692,26223,99241
9020025,101965,1879208,163290,244958,26297,99521
7960025,95288,1704334,145637,218475,24087,91154
8013900,93180,1639235,140911,211385,23686,89851
6696050,76984,1469715,125217,187842,18294,69421
10235453,145854,2843848,188809,283239,34785,131946
9378875,102401,2051778,180180,270292,24677,93657
10214402,123457,2741929,219467,329224,28170,106901
